Azonosító,Típus,Cikkszám,"GTIN, UPC, EAN, or ISBN",Név,Közzétéve,Kiemelt?,"Látható a katalógusban","Rövid leírás",Leírás,"Akciós ár első napja","Akciós ár utolsó napja","Adó státusz","Adózási osztály",Raktáron?,Készlet,"Alacsony készlet mennyiség","Függő rendelés engedélyezése?","Egyedileg értékesítető?","Tömeg (kg)","Hosszúság (cm)","Szélesség (cm)","Magasság (cm)","Engedélyezzük az értékelést?","Vásárlási megjegyzés","Akciós ár","Normál ár",Kategória,Címkék,"Szállítási osztály",Képek,"Letöltési korlát","Letöltés lejárati napok",Szülő,"Csoportosított termékek",Upsell,Keresztértékesítés,"Külső URL","Gomb szövege",Pozíció,Brands,"Tulajdonság neve 1","Tulajdonság (1) értéke(i)","Tulajdonság 1 láthatósága","Tulajdonság (1) globális","Letöltés 1 ID","Letöltés 1 neve","Letöltés 1 URL"
596,variable,24-CSIK-585,,1.A-526_Fotó_Fotó,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"1.A, 2.A, 3.A, 4.A",Portré,,https://sulifotok.hu/wp-content/uploads/wis/1733845718675862d683598.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
601,variable,24-CSIK-612,,1.A-521_Fotó_Fotó,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"1.A, 2.A, 3.A, 4.A",Portré,,https://sulifotok.hu/wp-content/uploads/wis/1733845736675862e8193ef.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
606,variable,24-CSIK-335,,1.A-423_Fotó_Fotó,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"1.A, 2.A, 3.A, 4.A",Portré,,https://sulifotok.hu/wp-content/uploads/wis/1733845755675862fb5cba0.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
611,variable,24-CSIK-155,,1.A-393_Fotó_Fotó,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"1.A, 2.A, 3.A, 4.A",Portré,,https://sulifotok.hu/wp-content/uploads/wis/17338457736758630d76050.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
616,variable,24-CSIK-315,,1.A-390_Fotó_Fotó,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"1.A, 2.A, 3.A, 4.A",Portré,,https://sulifotok.hu/wp-content/uploads/wis/17338457926758632027c8b.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
621,variable,24-CSIK-724,,1.A-386_Fotó_Fotó,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"1.A, 2.A, 3.A, 4.A",Portré,,https://sulifotok.hu/wp-content/uploads/wis/17338458186758633a11e09.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
626,variable,24-CSIK-716,,1.A-347_Fotó_Fotó,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"1.A, 2.A, 3.A, 4.A",Osztályfotó,,https://sulifotok.hu/wp-content/uploads/wis/173384793767586b81c1c77.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
631,variable,24-CSIK-516,,1.A-349_Fotó_Fotó,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"1.A, 2.A, 3.A, 4.A",Osztályfotó,,https://sulifotok.hu/wp-content/uploads/wis/173384796167586b99ee6b3.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
636,variable,24-CSIK-424,,1.A-333_Fotó_Fotó,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"1.A, 2.A, 3.A, 4.A",Osztályfotó,,https://sulifotok.hu/wp-content/uploads/wis/173384798667586bb2a3133.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
641,variable,24-CSIK-121,,1.A-334_Fotó_Fotó,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"1.A, 2.A, 3.A, 4.A",Osztályfotó,,https://sulifotok.hu/wp-content/uploads/wis/173384801667586bd00d83f.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
646,variable,24-CSIK-553,,1.A-324_Fotó_Fotó,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"1.A, 2.A, 3.A, 4.A",Osztályfotó,,https://sulifotok.hu/wp-content/uploads/wis/173384804367586beb99614.webp,,,,,,,,,0,,"Select Product","kicsi, kozepes, nagy",1,0,,,
599,"variation, downloadable, virtual",,,"1.A-526_Fotó_Fotó - nagy",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,300,,,,,-1,-1,24-CSIK-585,,,,,,0,,"Select Product",nagy,,0,b3fd74f1a835de17bc724a003d395002,Nagy,https://sulifotok.hu/wp-content/uploads/wis/1733845735675862e7815a3.jpg
597,"variation, downloadable, virtual",,,"1.A-526_Fotó_Fotó - kicsi",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,-1,-1,24-CSIK-585,,,,,,0,,"Select Product",kicsi,,0,1e4ab55043a1a7170adba38612e36a9e,Kicsi,https://sulifotok.hu/wp-content/uploads/wis/1733845718675862d65dd1e.jpg
598,"variation, downloadable, virtual",,,"1.A-526_Fotó_Fotó - kozepes",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,200,,,,,-1,-1,24-CSIK-585,,,,,,0,,"Select Product",kozepes,,0,1e4ab55043a1a7170adba38612e36a9e,Közepes,https://sulifotok.hu/wp-content/uploads/wis/1733845718675862d65dd1e.jpg
602,"variation, downloadable, virtual",,,"1.A-521_Fotó_Fotó - kicsi",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,-1,-1,24-CSIK-612,,,,,,0,,"Select Product",kicsi,,0,684cba79199ce3820e796e3d8e69d5bd,Kicsi,https://sulifotok.hu/wp-content/uploads/wis/1733845735675862e7ea29b.jpg
603,"variation, downloadable, virtual",,,"1.A-521_Fotó_Fotó - kozepes",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,200,,,,,-1,-1,24-CSIK-612,,,,,,0,,"Select Product",kozepes,,0,684cba79199ce3820e796e3d8e69d5bd,Közepes,https://sulifotok.hu/wp-content/uploads/wis/1733845735675862e7ea29b.jpg
604,"variation, downloadable, virtual",,,"1.A-521_Fotó_Fotó - nagy",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,300,,,,,-1,-1,24-CSIK-612,,,,,,0,,"Select Product",nagy,,0,e82d59cc33010e3706eb7fdac7e8fc46,Nagy,https://sulifotok.hu/wp-content/uploads/wis/1733845753675862f9dbe15.jpg
607,"variation, downloadable, virtual",,,"1.A-423_Fotó_Fotó - kicsi",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,100,,,,,-1,-1,24-CSIK-335,,,,,,0,,"Select Product",kicsi,,0,1b56b964b3fe7d1884a17759b1ddaee8,Kicsi,https://sulifotok.hu/wp-content/uploads/wis/1733845755675862fb418a4.jpg
608,"variation, downloadable, virtual",,,"1.A-423_Fotó_Fotó - kozepes",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,200,,,,,-1,-1,24-CSIK-335,,,,,,0,,"Select Product",kozepes,,0,1b56b964b3fe7d1884a17759b1ddaee8,Közepes,https://sulifotok.hu/wp-content/uploads/wis/1733845755675862fb418a4.jpg
